user_id,pages_viewed,time_spent,cart_additions,previous_purchases,total_sessions,session_duration,product_category,device_type,traffic_source,purchase,engagement_score,purchase_frequency
1,-0.5506705771777035,0.9345318694243357,0.691522409589132,-0.8674881567954945,0.8981740240402439,0.5012822716383641,2,2,1,0,0.07186879012238706,-0.5412100093863648
2,0.9052632642598097,-0.6317722889188079,-0.7185966964245958,0.16835982536756994,-0.015049930775361136,1.724749670211898,1,1,1,1,-0.040931526341012776,-0.25484388145581877
3,0.17729634354105311,-0.035641601788208466,-0.013537143417731861,0.858925146809613,1.2634636059664859,1.7448065128114643,5,0,4,1,0.08654828336077472,-0.32375551651931916
4,-0.36867884699801434,1.302730235005,1.3965819625959959,0.858925146809613,0.3502396511508809,-1.0591400826078807,1,0,2,1,0.4465821701549139,-0.1897606705625128
5,-0.5506705771777035,-0.029797183286928076,1.3965819625959959,-0.17692283535345155,0.3502396511508809,1.3597151348997945,1,1,1,0,-0.37431054383386914,-0.3850103032424306
6,1.6332301849785664,-0.08239694979845155,1.3965819625959959,-0.17692283535345155,1.0808188150033649,0.5815096420366287,2,1,1,1,0.9549561991474967,-0.4500935141357365
7,0.17729634354105311,1.4429962790357294,-1.4236562494314597,1.549490468251656,-0.9282738855909661,0.3648957419613145,2,0,1,1,1.1616280118458493,0.7604542084797535
8,0.17729634354105311,0.4669783893219048,0.691522409589132,-0.8674881567954945,1.0808188150033649,0.4290776382799261,1,2,4,1,0.45199040450589884,-0.5477183304756954
9,-1.096645767716771,-0.8246380994610607,-0.013537143417731861,0.5136424860885914,1.2634636059664859,-1.3038335623225874,2,1,3,0,-0.9332901942535252,-0.3696966065616527
10,-0.36867884699801434,1.2325972129896354,0.691522409589132,0.16835982536756994,0.8981740240402439,-0.8946739732914384,1,1,0,0,0.409497134605303,-0.3850103032424306
11,-1.27863749789646,0.6773774553679986,-1.4236562494314597,-1.5580534782375375,0.5328844421140019,1.367737871939621,3,1,4,0,-0.6991909073466064,-0.6453431468156542
12,-1.4606292280761493,1.3494855830152432,-0.013537143417731861,-0.5222054960744731,-0.38033951270160316,0.011895312208950633,1,0,2,0,-0.7733609784458282,-0.3524686977957776
13,0.3592880737207423,0.3384011822937363,-0.013537143417731861,0.16835982536756994,-1.476208258480329,-0.45342343610098357,4,0,4,0,0.49911930385019604,1.3071531799835232
